2025-10-31 13:36:54,749 INFO    MainThread:71249 [wandb_setup.py:_flush():81] Current SDK version is 0.21.3
2025-10-31 13:36:54,750 INFO    MainThread:71249 [wandb_setup.py:_flush():81] Configure stats pid to 71249
2025-10-31 13:36:54,750 INFO    MainThread:71249 [wandb_setup.py:_flush():81] Loading settings from /home/teqqqie/.config/wandb/settings
2025-10-31 13:36:54,750 INFO    MainThread:71249 [wandb_setup.py:_flush():81] Loading settings from /home/teqqqie/D501-Exercises/lesson-5-final-pipeline-release-and-deploy/genre_classification/check_data/wandb/settings
2025-10-31 13:36:54,750 INFO    MainThread:71249 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-31 13:36:54,750 INFO    MainThread:71249 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /home/teqqqie/D501-Exercises/lesson-5-final-pipeline-release-and-deploy/genre_classification/check_data/wandb/run-20251031_133654-hnphf2vj/logs/debug.log
2025-10-31 13:36:54,750 INFO    MainThread:71249 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /home/teqqqie/D501-Exercises/lesson-5-final-pipeline-release-and-deploy/genre_classification/check_data/wandb/run-20251031_133654-hnphf2vj/logs/debug-internal.log
2025-10-31 13:36:54,750 INFO    MainThread:71249 [wandb_init.py:init():813] calling init triggers
2025-10-31 13:36:54,750 INFO    MainThread:71249 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-10-31 13:36:54,750 INFO    MainThread:71249 [wandb_init.py:init():854] starting backend
2025-10-31 13:36:54,955 INFO    MainThread:71249 [wandb_init.py:init():857] sending inform_init request
2025-10-31 13:36:54,958 INFO    MainThread:71249 [wandb_init.py:init():865] backend started and connected
2025-10-31 13:36:54,959 INFO    MainThread:71249 [wandb_init.py:init():936] updated telemetry
2025-10-31 13:36:54,963 INFO    MainThread:71249 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2025-10-31 13:36:55,353 INFO    MainThread:71249 [wandb_init.py:init():1011] starting run threads in backend
2025-10-31 13:36:55,381 INFO    MainThread:71249 [wandb_run.py:_console_start():2494] atexit reg
2025-10-31 13:36:55,382 INFO    MainThread:71249 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-10-31 13:36:55,382 INFO    MainThread:71249 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-10-31 13:36:55,382 INFO    MainThread:71249 [wandb_run.py:_redirect():2434] Redirects installed.
2025-10-31 13:36:55,387 INFO    MainThread:71249 [wandb_init.py:init():1057] run started, returning control to user process
2025-10-31 13:36:58,451 INFO    wandb-AsyncioManager-main:71249 [service_client.py:_forward_responses():84] Reached EOF.
2025-10-31 13:36:58,451 INFO    wandb-AsyncioManager-main:71249 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
